id,title,artist,year,album,acoustID
1,A nuestro modo,Gabino Pampini,1986,Fuerza Noble,258db8e7-6136-4836-bf7a-41f8ab8c1aac
2,Aguzate,Richie Ray & Bobby Cruz,1970,Aguzate,b874c7c2-a702-4c70-8f74-1b7c56eee20d
3,Amor Traicionero,Guayacan Orquesta,1993,Con el Corazón Abíerto,cb7ea308-9264-4ff7-9b96-49bf42be0704
4,Arroz con habichuela,El Gran Combo de Puerto Rico,2006,Arroz con habichuela,d62f529a-969f-4696-b4d6-910a32bfef14
5,"Bang, Bang",Joe Cuba Sextet,1966,Wanted Dead or Alive,94c43fa0-4677-40af-8ef4-5ea98ef3a0eb
6,Conmigo (pachanga),Eddie Palmieri,1962,"Eddie Palmieri And His Conjunto ""La Perfecta""",4ca45ddb-ffde-4fab-87dc-7d7eb8d647a6
7,Desengaño De La Vida,Alma Latina,1994,Alma Latina,4ca45ddb-ffde-4fab-87dc-7d7eb8d647a6
8,El cantante,Hectror Lavoe,1978,Comedia,a4f0aa94-4613-4f39-a294-3b3a0945b2aa
9,El grán varon,Willie Colón,1989,Top Secrets,f5339685-c087-4dc6-b067-e18cfc0cbda5
10,El Nazareno,Ismael Rivera,1974,Traigo De Todo,fd4bd31b-600e-47d6-bc65-afac210e1a98
11,El Negro Bembón,Cortijo Y Su Combo con Ismael Rivera,1958,Baile con cortijo y su combo,05395700-b22a-4bc3-bb9a-c350f72825c7
12,El que se fue,Roberto Roena,1974,6,0d1717fd-dee4-4f12-9157-50e2354c43ca
13,Esperandote,Tito Rojas,1995,Por derecgo propio,dce60534-a9be-42c2-9a67-9ebae57d07a4
14,Espiritualmente,Sexteto Juventud,1974,Lo Espiritual Del Sexteto Juventud,f0a95484-213b-4a83-9c22-50a62edac013
15,Estamos en salsa,Wayne Gorbea,1977,La Salsa Del Conjunto Salsa Con Wayne Gorbea,4a8e6255-d9c3-4240-a24d-9f33fe7d951f
16,Estas equivocado,Roberto Roena,1978,Regreso,4f08e0fc-adbb-4373-a4f2-abba047cad89
17,Fried Neck Bones And Some Home Fries,Willie Bobo,1998,The Afro-Latin Groove - Sabroso!,d91a5d6e-0a52-44e0-9ad5-b6d9e31d1c58
18,Huerfano Soy,Trio La Rosa,1975,,6945f4f9-1544-48a5-b747-f99cc959dae5
19,La Boda De Ella,Bobby valentín,1978,Bobby valentín,71a39459-d196-4a73-b16f-beb132d0c8cd
